,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
147,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,245269,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
148,"1 Scale (feat. G Herbo)","Young Dolph",245122,https://open.spotify.com/track/5gmkw2031VVIboYqPIjSWB
149,"Come & Go (with Marshmello)","Juice WRLD",244537,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
150,"Washing Machine Heart",Mitski,244287,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu
151,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,243818,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
152,"Electric Love",BØRNS,243769,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
153,"my ex's best friend (with blackbear)","Machine Gun Kelly",243513,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
154,"Heartbreak Anniversary",Giveon,243358,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
155,"Yes Indeed","Lil Baby",241420,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
156,"She Knows (feat. Amber Coffman & Cults)","J. Cole",241418,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
157,"Not Allowed","TV Girl",241240,https://open.spotify.com/track/0jA4h2SD50Oak4C3Vn905a
158,"LOVE. FEAT. ZACARI.","Kendrick Lamar",240306,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
159,Robbery,"Juice WRLD",239733,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
160,"Wasted On You","Morgan Wallen",238278,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
161,"Dreams - 2004 Remaster","Fleetwood Mac",237204,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
162,"Whiskey Glasses","Morgan Wallen",236470,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
163,DÁKITI,"Bad Bunny",236342,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
164,goosebumps,"Travis Scott",236253,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
165,"Wishing Well","Juice WRLD",236174,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
166,"Life Goes On","Oliver Tree",235360,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
167,"All For Us - from the HBO Original Series Euphoria",Labrinth,235065,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
168,"The Hills","The Weeknd",234378,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
169,Teenagers,"My Chemical Romance",233355,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0
170,"Self Care","Mac Miller",232401,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
171,"Bound 2","Kanye West",232308,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
172,"Flower Shops (feat. Morgan Wallen)",ERNEST,230097,https://open.spotify.com/track/2ccuOtUjIyx3tPcsnpeBzJ
173,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",229777,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
174,"mop (feat. Young Thug)",Gunna,228974,https://open.spotify.com/track/2ZGEjmwyeZ3rpEezkZwqOP
175,"Colombia, Mi Encanto","Carlos Vives",228963,https://open.spotify.com/track/2Q5q1q01KOdHt5fM00WUJ8
176,"you broke me first","Tate McRae",228561,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
177,"Mood (feat. iann dior)",24kGoldn,228077,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
178,"MIDDLE CHILD","J. Cole",227992,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
179,"Flashing Lights","Kanye West",227676,https://open.spotify.com/track/31I3Rt1bPa2LrE74DdNizO
180,"Get You (feat. Kali Uchis)","Daniel Caesar",227298,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ
181,"Everybody Talks","Neon Trees",227079,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
182,"Cigarette Daydreams","Cage The Elephant",226969,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
183,"Misery Business",Paramore,226947,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU
184,"Sand In My Boots","Morgan Wallen",226654,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
185,Haunted,"Laura Les",226636,https://open.spotify.com/track/1toNKayLMeCcVlsLGXJl7n
