,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
134,Perfect,"Ed Sheeran",848385,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
135,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,840606,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
136,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",837746,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
137,"I Like Me Better",Lauv,835936,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
138,Heaven,Avicii,833840,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
139,"Lucid Dreams","Juice WRLD",831692,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
140,"Going Bad (feat. Drake)","Meek Mill",826697,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
141,"Don't Stop Me Now - Remastered 2011",Queen,823040,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
142,"I Get Lonely",Drake,822246,https://open.spotify.com/track/2ducmmobqydJmv8or1OKTo
143,Atrévete,"Nicky Jam",805307,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
144,"So Am I","Ava Max",802973,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
145,Baby,"Quality Control",799857,https://open.spotify.com/track/2nKYHpmwjLaEOXS3o7QMiz
146,2002,Anne-Marie,799836,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
147,"Another One Bites The Dust - Remastered 2011",Queen,796209,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
148,"Only Human","Jonas Brothers",794762,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
149,"Be Alright","Dean Lewis",794144,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
150,"Girls Love Beyoncé (feat. James Fauntleroy)",Drake,790950,https://open.spotify.com/track/56NDFbD0tCUawnqeU2wcvv
151,Thunder,"Imagine Dragons",788347,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
152,SAD!,XXXTENTACION,787400,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
153,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,779794,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
154,"I Like It","Cardi B",776245,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
155,"On My Way","Alan Walker",772618,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
156,"OMG (with Carly Rae Jepsen)",Gryffin,772189,https://open.spotify.com/track/2j9YmQRxtjuVwb4XN95oT8
157,Secreto,"Anuel AA",771836,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
158,"Say You Won't Let Go","James Arthur",771006,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
159,Paradise,Bazzi,769822,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
160,"Mother's Daughter","Miley Cyrus",768345,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
161,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,762944,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
162,"Te Soñé De Nuevo",Ozuna,762802,https://open.spotify.com/track/5s8LepdwU0THzpd0M7nLsa
163,"La Boca - Remix","Mau y Ricky",761672,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
164,"Pure Water (with Migos)",Mustard,760498,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
165,"God's Plan",Drake,758896,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
166,"Take Me Back to London (feat. Stormzy)","Ed Sheeran",758619,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0
167,"wish you were gay","Billie Eilish",756780,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
168,"Havana (feat. Young Thug)","Camila Cabello",755527,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
169,"Adan y Eva","Paulo Londra",740735,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
170,"My Side",Drake,732308,https://open.spotify.com/track/4alHkxxwAhvoGg3dJCATKV
171,Eiskalt,Loredana,728878,https://open.spotify.com/track/52UVKsw31NTOCTNPTpwbFJ
172,Africa,TOTO,728642,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
173,Desconocidos,"Mau y Ricky",720311,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
174,Moonlight,XXXTENTACION,718770,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
175,"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Machine Gun Kelly",717581,https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg
176,"Baila Baila Baila - Remix",Ozuna,717208,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
177,"Taste (feat. Offset)",Tyga,716808,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
178,"On A Roll","Ashley O",716594,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
179,"Something Just Like This","The Chainsmokers",716519,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
180,"Too Good At Goodbyes","Sam Smith",714374,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
181,"Body (feat. brando)","Loud Luxury",709980,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
182,"Kill This Love",BLACKPINK,709891,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
183,"Who Do You Love","The Chainsmokers",703366,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
184,"Promises (with Sam Smith)","Calvin Harris",700134,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
185,"Free Spirit (feat. Rick Ross)",Drake,699242,https://open.spotify.com/track/18t8ypY0HYaQuGBxg2KdT2
186,"Wonderwall - Remastered",Oasis,699200,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
187,"Sanguine Paradise","Lil Uzi Vert",697020,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
188,Closer,"The Chainsmokers",694754,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
189,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",691085,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
190,"Don't Stop Believin'",Journey,688675,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
191,Photograph,"Ed Sheeran",686924,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
192,"Can I",Drake,684206,https://open.spotify.com/track/3e0ZGE7Gp034iLknjQk4QW
193,"Baila Baila Baila",Ozuna,683524,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
194,"Under Pressure - Remastered 2011",Queen,681501,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
195,"Giant (with Rag'n'Bone Man)","Calvin Harris",675119,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
196,"Best Part of Me (feat. YEBBA)","Ed Sheeran",671831,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis
197,"Lost In Japan","Shawn Mendes",671359,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
198,"Paris Morton Music",Drake,669961,https://open.spotify.com/track/73IE87H0g2MBmdn41lkVto
199,"The Middle",Zedd,668179,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
200,"One Kiss (with Dua Lipa)","Calvin Harris",665055,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
