,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
121,"Mal Feito - Ao Vivo","Hugo & Guilherme",895930,https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN
122,"A Tu Merced","Bad Bunny",890090,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
123,"'Till I Collapse",Eminem,889880,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
124,"The Rumbling (TV Size)",SiM,880927,https://open.spotify.com/track/0KCSJzsQVxkloxoT7dyrqV
125,"Locked out of Heaven","Bruno Mars",878145,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
126,"family ties (with Kendrick Lamar)","Baby Keem",877107,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
127,Sky,"Playboi Carti",876171,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
128,"LA CANCIÓN","J Balvin",872407,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
129,"Salimo de Noche","Tiago PZK",872073,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
130,Perfect,"Ed Sheeran",870711,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
131,"Talking to the Moon","Bruno Mars",870470,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
132,"Life Goes On","Oliver Tree",866954,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
133,"Counting Stars",OneRepublic,866199,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
134,positions,"Ariana Grande",865549,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
135,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",863730,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
136,Peru,"Fireboy DML",852440,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
137,"Rolling in the Deep",Adele,851001,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
138,"Before You Go","Lewis Capaldi",848831,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
139,Sobrio,Maluma,848276,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
140,"AM Remix","Nio Garcia",845851,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
141,happier,"Olivia Rodrigo",844766,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
142,"The Business",Tiësto,842957,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
143,"Se Le Ve","Dímelo Flow",842155,https://open.spotify.com/track/5W1qmxHrMlQGGAiFA3ZQqP
144,"Why'd You Only Call Me When You're High?","Arctic Monkeys",838529,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
145,"No Lie","Sean Paul",837901,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
146,"Numb Little Bug","Em Beihold",837639,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
147,"Smells Like Teen Spirit - Remastered",Nirvana,836915,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
