,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
145,"The Nights",Avicii,791588,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
146,"WA DA DA",Kep1er,791315,https://open.spotify.com/track/0hQNbQKW2dDATH1ngj4TI6
147,"Boys Don't Cry",Anitta,784128,https://open.spotify.com/track/35COLcFjvONwVv6jkG23gI
148,Riptide,"Vance Joy",783055,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
149,"Before You Go","Lewis Capaldi",782811,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
150,Peru,"Fireboy DML",782632,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
151,"Ley Seca","Jhay Cortez",781392,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
152,"Why'd You Only Call Me When You're High?","Arctic Monkeys",776588,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
153,2055,"Sleepy Hallow",776380,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
154,Cúrame,"Rauw Alejandro",775093,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA
155,Sky,"Playboi Carti",774401,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
156,"Lucid Dreams","Juice WRLD",773324,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
157,"Take Me To Church",Hozier,763285,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
158,"Space Song","Beach House",761247,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
159,Payphone,"Maroon 5",759908,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
160,"Parada Louca","Mari Fernandez",759698,https://open.spotify.com/track/72g37RoelSnovZakG5MwnF
161,"Mr. Brightside","The Killers",758434,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
162,ELEVEN,IVE,758421,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr
163,"Smells Like Teen Spirit - Remastered",Nirvana,757832,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
164,Problemón,"Alvaro Diaz",754987,https://open.spotify.com/track/1mSviQV9iQnGSRyvTIuxAj
165,"Molhando o Volante","Jorge & Mateus",754544,https://open.spotify.com/track/3ITkrUvAA6gzxer2UIom3P
166,Arcade,"Duncan Laurence",753943,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
167,"I WANNA BE YOUR SLAVE",Måneskin,753345,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
168,"favorite crime","Olivia Rodrigo",751645,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
169,"All of Me","John Legend",751453,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
170,"Christmas Tree",V,750770,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O
171,"Bohemian Rhapsody - Remastered 2011",Queen,749632,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
172,"The Business",Tiësto,748912,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
173,Pandora,"DJ Matt D",748405,https://open.spotify.com/track/0yL7K9MzC20uBesZTPY81r
174,"No Role Modelz","J. Cole",748197,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
175,"you broke me first","Tate McRae",747070,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
176,Circles,"Post Malone",744020,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
177,"One Dance",Drake,743908,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
178,"Jocelyn Flores",XXXTENTACION,741363,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
179,Streets,"Doja Cat",739580,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
180,"Gangsta's Paradise",Coolio,738652,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
181,Shallow,"Lady Gaga",737177,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
182,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",736254,https://open.spotify.com/track/0Bv7O6fmZk3GrNQFYJaXPn
183,"Ella - Remix",Boza,732841,https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
184,"Qué Más Pues?","J Balvin",732640,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
185,Bored,"Billie Eilish",730574,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
186,RAPSTAR,"Polo G",729475,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
187,"Say You Won't Let Go","James Arthur",729200,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
188,"Astronaut In The Ocean","Masked Wolf",728744,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
189,GALOPA,"PEDRO SAMPAIO",727471,https://open.spotify.com/track/2wG1R0uDFwyobcWzVssC1J
190,"The Hills","The Weeknd",722699,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
191,"Way 2 Sexy (with Future & Young Thug)",Drake,722213,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
192,"LA FAMA (with The Weeknd)",ROSALÍA,718527,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
193,Falling,"Harry Styles",718518,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
194,Memories,"Maroon 5",715520,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
195,Enchanted,"Taylor Swift",714945,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
196,Señorita,"Shawn Mendes",713779,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
197,"Enemy - From the series Arcane League of Legends","Imagine Dragons",713047,https://open.spotify.com/track/5UlnuulVAVmmesw4VzqHdG
198,Hope,XXXTENTACION,711156,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
199,Bar,TINI,708907,https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC
200,"family ties (with Kendrick Lamar)","Baby Keem",708867,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
